title,year,director,country,runtime_minutes,rating,list_name,award_year,result,tags,source,ai_review,review
Gladiator,2000,Unknown,Unknown,,8,21c best picture nominations,2001,winner,21c-best-picture; oscar-best-picture-nominee; best-picture-2001; oscar-winner,Academy Best Picture nominations import,Gladiator entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Chocolat,2000,Unknown,Unknown,,8,21c best picture nominations,2001,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2001,Academy Best Picture nominations import,Chocolat entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
"Crouching Tiger, Hidden Dragon",2000,Unknown,Unknown,,8,21c best picture nominations,2001,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2001,Academy Best Picture nominations import,"Crouching Tiger, Hidden Dragon entered the Best Picture conversation; now it has to survive one sentence.",Human champion pending.
Erin Brockovich,2000,Unknown,Unknown,,8,21c best picture nominations,2001,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2001,Academy Best Picture nominations import,Erin Brockovich entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Traffic,2000,Unknown,Unknown,,8,21c best picture nominations,2001,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2001,Academy Best Picture nominations import,Traffic entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
A Beautiful Mind,2001,Unknown,Unknown,,8,21c best picture nominations,2002,winner,21c-best-picture; oscar-best-picture-nominee; best-picture-2002; oscar-winner,Academy Best Picture nominations import,A Beautiful Mind entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Gosford Park,2001,Unknown,Unknown,,8,21c best picture nominations,2002,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2002,Academy Best Picture nominations import,Gosford Park entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
In the Bedroom,2001,Unknown,Unknown,,8,21c best picture nominations,2002,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2002,Academy Best Picture nominations import,In the Bedroom entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
The Lord of the Rings: The Fellowship of the Ring,2001,Unknown,Unknown,,8,21c best picture nominations,2002,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2002,Academy Best Picture nominations import,The Lord of the Rings: The Fellowship of the Ring entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Moulin Rouge!,2001,Unknown,Unknown,,8,21c best picture nominations,2002,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2002,Academy Best Picture nominations import,Moulin Rouge! entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Chicago,2002,Unknown,Unknown,,8,21c best picture nominations,2003,winner,21c-best-picture; oscar-best-picture-nominee; best-picture-2003; oscar-winner,Academy Best Picture nominations import,Chicago entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Gangs of New York,2002,Unknown,Unknown,,8,21c best picture nominations,2003,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2003,Academy Best Picture nominations import,Gangs of New York entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
The Hours,2002,Unknown,Unknown,,8,21c best picture nominations,2003,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2003,Academy Best Picture nominations import,The Hours entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
