title,year,director,country,runtime_minutes,rating,list_name,tags,source,ai_review,review
The Cabinet of Dr. Caligari,1920,Robert Wiene,Germany,,9,20c film,20c-film; silent; expressionism; horror,Curated 20th-century film import,"The Cabinet of Dr. Caligari carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
The Kid,1921,Charlie Chaplin,USA,,9,20c film,20c-film; silent; comedy; family,Curated 20th-century film import,"The Kid carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
Nosferatu,1922,F. W. Murnau,Germany,,9,20c film,20c-film; silent; horror; expressionism,Curated 20th-century film import,"Nosferatu carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
Nanook of the North,1922,Robert J. Flaherty,USA,,9,20c film,20c-film; documentary; silent,Curated 20th-century film import,"Nanook of the North carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
Sherlock Jr.,1924,Buster Keaton,USA,,9,20c film,20c-film; silent; comedy,Curated 20th-century film import,"Sherlock Jr. carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
Battleship Potemkin,1925,Sergei Eisenstein,USSR,,9,20c film,20c-film; silent; montage; politics,Curated 20th-century film import,"Battleship Potemkin carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
The Gold Rush,1925,Charlie Chaplin,USA,,9,20c film,20c-film; silent; comedy,Curated 20th-century film import,"The Gold Rush carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
Metropolis,1927,Fritz Lang,Germany,,9,20c film,20c-film; science fiction; city; silent,Curated 20th-century film import,"Metropolis carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
Sunrise: A Song of Two Humans,1927,F. W. Murnau,USA,,9,20c film,20c-film; silent; romance,Curated 20th-century film import,"Sunrise: A Song of Two Humans carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
The Passion of Joan of Arc,1928,Carl Theodor Dreyer,France,,9,20c film,20c-film; silent; faith; trial,Curated 20th-century film import,"The Passion of Joan of Arc carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
Un chien andalou,1929,Luis Buñuel,France,,9,20c film,20c-film; surrealism; short,Curated 20th-century film import,"Un chien andalou carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
All Quiet on the Western Front,1930,Lewis Milestone,USA,,9,20c film,20c-film; war; anti-war,Curated 20th-century film import,"All Quiet on the Western Front carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
M,1931,Fritz Lang,Germany,,9,20c film,20c-film; crime; city,Curated 20th-century film import,"M carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
City Lights,1931,Charlie Chaplin,USA,,9,20c film,20c-film; comedy; romance,Curated 20th-century film import,"City Lights carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
Duck Soup,1933,Leo McCarey,USA,,9,20c film,20c-film; comedy; politics,Curated 20th-century film import,"Duck Soup carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
L'Atalante,1934,Jean Vigo,France,,9,20c film,20c-film; romance; river,Curated 20th-century film import,"L'Atalante carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
Bride of Frankenstein,1935,James Whale,USA,,9,20c film,20c-film; horror; gothic,Curated 20th-century film import,"Bride of Frankenstein carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
Modern Times,1936,Charlie Chaplin,USA,,9,20c film,20c-film; comedy; work; modernity,Curated 20th-century film import,"Modern Times carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
Grand Illusion,1937,Jean Renoir,France,,9,20c film,20c-film; war; class,Curated 20th-century film import,"Grand Illusion carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
Snow White and the Seven Dwarfs,1937,David Hand,USA,,9,20c film,20c-film; animation; fairy tale,Curated 20th-century film import,"Snow White and the Seven Dwarfs carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
